살인,강도,강간,절도,폭력,자치구,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,범죄,검거
0.3076923076923084,0.6785714285714284,0.565243921042194,0.47096146110797155,0.7475830830771333,강남구,76.92307692307693,85.71428571428571,77.728285077951,42.857142857142854,86.48459383753502,369.7073844099915,2.7700522014910356
0.25000000000000044,1.0,0.5870653319283454,0.10670313148534816,0.3261816773491848,강동구,75.0,100.0,78.84615384615384,33.34742180896027,82.89085545722715,370.08443111234124,2.269950140762879
1.0,0.8392857142857144,0.6555197421434324,0.48011956918142196,1.0,강북구,100.0,92.85714285714286,82.35294117647058,43.09623430962343,88.63722159305398,406.94353993629085,3.9749250256105686
0.666666666666667,1.0,0.3960830479452053,0.0,0.0,관악구,88.88888888888889,100.0,69.0625,30.56171470805617,80.10915706488781,368.6222606618329,2.062749714611872
1.0,1.0,0.8373287671232874,0.4458258440963978,0.3445637603967686,광진구,100.0,100.0,91.66666666666666,42.2009253139458,83.04761904761905,416.91521102823145,3.627718371616454
0.25000000000000044,0.3999999999999999,0.18722273680105284,0.2877032081409798,0.0901487528849696,구로구,75.0,73.33333333333333,58.362989323843415,38.07280513918629,80.87795144662454,325.64707924298756,1.2150746978270026
1.0,1.0,0.6251020593304908,0.9999999999999998,0.7453363204505852,금천구,100.0,100.0,80.79470198675497,56.66879387364391,86.46543330087634,423.92892916127516,4.370438379781076
1.0,1.0,0.246923023433697,0.22842819955677696,0.6357254480484809,노원구,100.0,100.0,61.42131979695431,36.52530779753762,85.53066470804261,383.4772923025345,3.111076671038955
1.0,1.0,1.0,0.5517798264043201,0.8814351386049548,도봉구,100.0,100.0,100.0,44.96707431796801,87.62609280430397,432.593167122272,4.433214965009275
1.0,1.0,0.695344049410088,0.40328692574188385,0.8551444165884661,동대문구,100.0,100.0,84.39306358381504,41.090358404846036,87.40188383045526,412.8853058191163,3.9537753917404377
1.0,0.0,0.0,0.1869471690156308,0.34941670069129493,동작구,100.0,55.55555555555556,48.771929824561404,35.442359249329755,83.0890052356021,322.8588498650488,1.5363638697069257
1.0,0.3571428571428572,0.6879368185630419,0.048195592659752595,0.5084427219598204,마포구,100.0,71.42857142857143,84.01360544217688,31.81996086105675,84.44518940663761,371.7073271384427,2.601717990325472
1.0,0.5499999999999998,0.6197295854830103,0.3894254906361527,0.3647588831926605,서대문구,100.0,80.0,80.51948051948052,40.728476821192054,83.21984435797665,384.46780169864917,2.923913959311823
0.25000000000000044,0.24999999999999978,0.28474328139705096,0.41530727341151685,0.8611506598555216,서초구,75.0,66.66666666666666,63.358778625954194,41.40417457305503,87.45310546060858,333.88272532628446,2.0612012146640897
1.0,0.7499999999999998,0.8915525114155249,0.2523550848518954,0.7538996043403827,성동구,100.0,88.88888888888889,94.44444444444444,37.14996888612321,86.53846153846155,407.02176375791805,3.647807200607803
1.0,0.5499999999999998,0.6616438356164385,0.4194605710008046,0.45326721964431194,성북구,100.0,80.0,82.66666666666667,41.51260504201681,83.97464916251698,388.15392087120046,3.0843716262615546
0.7272727272727275,0.48076923076923106,0.6273349937733499,0.16450413455563617,0.5210086027135219,송파구,90.9090909090909,76.92307692307693,80.9090909090909,34.85643717196666,84.55235204855842,368.1500479617838,2.5208896890844663
1.0,0.6447368421052628,0.56053216667862,0.685941500061968,0.3466112857386001,양천구,100.0,84.21052631578947,77.4869109947644,48.469643753135976,83.06508047585724,393.2321615395471,3.237821794584451
0.5714285714285716,0.7954545454545454,0.2588808915718597,0.09324048444900335,0.3266368081546922,영등포구,85.71428571428571,90.9090909090909,62.03389830508475,32.99595141700405,82.89473684210526,354.54796318757064,2.045641301058672
1.0,1.0,0.7886950995622086,0.2734504206118753,0.3532799434940763,용산구,100.0,100.0,89.17525773195877,37.70070648683366,83.1219512195122,409.99791543830463,3.4154254636681607
1.0,0.24999999999999978,0.7060158441987125,0.25225421324887076,0.7986935732037992,은평구,100.0,66.66666666666666,84.93975903614458,37.14733542319749,86.92046739540143,375.67422852141016,3.0069636306513825
0.5000000000000004,0.590909090909091,0.5374277738102966,0.29733165732118794,0.48119529966146324,종로구,83.33333333333334,81.81818181818183,76.30331753554502,38.324175824175825,84.21282163105103,363.9918301422871,2.4068638217020393
0.0,0.24999999999999978,0.3225221595487511,0.12069527684545545,0.9615541048047298,중구,66.66666666666666,66.66666666666666,65.29411764705883,33.712715855573,88.3093525179856,320.6495193539508,1.654771541198936
0.7692307692307692,0.590909090909091,0.5928869679876934,0.3166698600082207,0.5201623592935931,중랑구,92.3076923076923,81.81818181818183,79.14438502673798,38.82903981264637,84.54513523006673,376.6444341953252,2.7898590474293674
